workload,hour_kst,total_cpu_cores_avg,total_cpu_cores_max,total_mem_MB_avg,total_mem_MB_max
matching-engine,2026-08-26 10:00 KST,0.046,0.354,34.7,92.2
matching-engine,2026-08-26 11:00 KST,0.155,0.606,84.7,150.9
matching-engine,2026-08-26 12:00 KST,0.026,0.205,41.0,84.2
matching-engine,2026-08-26 13:00 KST,0.077,0.405,49.5,107.4
matching-engine,2026-08-26 14:00 KST,0.042,0.407,47.5,124.6
matching-engine,2026-08-26 15:00 KST,0.037,0.387,46.3,131.9
matching-engine,2026-08-26 16:00 KST,0.084,0.470,51.9,96.1
matching-engine,2026-08-26 17:00 KST,0.125,0.459,53.7,91.0
matching-engine,2026-08-26 18:00 KST,0.249,1.398,148.0,632.9
matching-engine,2026-08-26 19:00 KST,0.965,1.967,289.0,428.0
matching-engine,2026-08-26 20:00 KST,0.561,1.787,164.2,406.6
matching-engine,2026-08-26 21:00 KST,0.637,1.428,219.7,385.7
matching-engine,2026-08-26 22:00 KST,0.339,1.793,129.6,570.8
matching-engine,2026-08-26 23:00 KST,0.008,0.019,25.6,49.2
matching-engine,2026-08-27 00:00 KST,0.671,1.998,230.0,379.7
matching-engine,2026-08-27 01:00 KST,0.732,1.672,203.3,398.6
matching-engine,2026-08-27 02:00 KST,0.974,2.073,311.3,466.6
matching-engine,2026-08-27 03:00 KST,0.902,1.796,562.0,1140.3
matching-engine,2026-08-27 04:00 KST,0.574,0.804,682.2,1209.8
matching-engine,2026-08-27 05:00 KST,0.560,0.757,426.2,976.8
matching-engine,2026-08-27 06:00 KST,0.517,0.710,695.1,1154.9
matching-engine,2026-08-27 07:00 KST,0.521,0.750,804.2,1140.6
matching-engine,2026-08-27 08:00 KST,0.551,0.790,435.8,728.0
matching-engine,2026-08-27 09:00 KST,0.465,0.915,269.1,609.5
matching-engine,2026-08-27 10:00 KST,0.628,0.765,838.2,1235.7
matching-engine,2026-08-27 11:00 KST,0.380,0.690,330.1,1017.3
matching-engine,2026-08-27 12:00 KST,0.323,0.346,985.4,1230.1
matching-engine,2026-08-27 13:00 KST,0.237,0.310,1081.2,1420.8
matching-engine,2026-08-27 14:00 KST,0.221,0.271,694.1,1364.2
matching-engine,2026-08-27 15:00 KST,0.003,0.003,39.6,42.2
matching-engine,2026-08-27 16:00 KST,0.003,0.004,35.6,36.6
matching-engine,2026-08-27 17:00 KST,0.003,0.003,35.6,37.6
matching-engine,2026-08-27 18:00 KST,0.003,0.003,35.5,36.0
recorder,2026-08-26 10:00 KST,0.011,0.049,24.5,79.2
recorder,2026-08-26 11:00 KST,0.049,0.062,71.9,84.0
recorder,2026-08-26 12:00 KST,0.048,0.049,74.9,84.4
recorder,2026-08-26 13:00 KST,0.051,0.063,79.5,154.9
recorder,2026-08-26 14:00 KST,0.039,0.060,57.1,84.1
recorder,2026-08-26 15:00 KST,0.036,0.050,63.0,145.8
recorder,2026-08-26 16:00 KST,0.032,0.056,58.8,83.3
recorder,2026-08-26 17:00 KST,0.037,0.053,137.9,214.7
recorder,2026-08-26 18:00 KST,0.048,0.085,432.8,530.1
recorder,2026-08-26 19:00 KST,0.059,0.083,594.7,991.4
recorder,2026-08-26 20:00 KST,0.064,0.082,277.0,1021.6
recorder,2026-08-26 21:00 KST,0.059,0.079,29.0,36.8
recorder,2026-08-26 22:00 KST,0.059,0.080,74.8,123.5
recorder,2026-08-26 23:00 KST,0.061,0.072,77.9,143.3
recorder,2026-08-27 00:00 KST,0.060,0.073,52.9,116.7
recorder,2026-08-27 01:00 KST,0.061,0.071,53.5,167.6
recorder,2026-08-27 02:00 KST,0.054,0.075,50.6,106.2
recorder,2026-08-27 03:00 KST,0.044,0.069,42.1,71.6
recorder,2026-08-27 04:00 KST,0.044,0.071,41.3,60.5
recorder,2026-08-27 05:00 KST,0.046,0.070,44.8,69.6
recorder,2026-08-27 06:00 KST,0.044,0.071,43.5,69.9
recorder,2026-08-27 07:00 KST,0.042,0.073,46.5,106.4
recorder,2026-08-27 08:00 KST,0.045,0.073,51.7,89.2
recorder,2026-08-27 09:00 KST,0.049,0.070,56.5,82.2
recorder,2026-08-27 10:00 KST,0.028,0.043,41.2,62.7
recorder,2026-08-27 11:00 KST,0.068,0.076,56.6,74.3
recorder,2026-08-27 12:00 KST,0.023,0.026,39.2,41.7
recorder,2026-08-27 13:00 KST,0.015,0.021,38.8,40.7
recorder,2026-08-27 14:00 KST,0.059,0.077,51.8,64.3
recorder,2026-08-27 15:00 KST,0.073,0.086,61.9,117.1
recorder,2026-08-27 16:00 KST,0.072,0.074,52.4,64.1
recorder,2026-08-27 17:00 KST,0.071,0.075,60.8,72.7
recorder,2026-08-27 18:00 KST,0.071,0.074,59.3,69.9
orderapi,2026-08-26 10:00 KST,0.030,0.235,44.9,241.0
orderapi,2026-08-26 11:00 KST,0.110,0.305,334.4,774.4
orderapi,2026-08-26 12:00 KST,0.063,0.075,467.3,475.1
orderapi,2026-08-26 13:00 KST,0.066,0.193,538.9,758.5
orderapi,2026-08-26 14:00 KST,0.036,0.265,653.7,929.4
orderapi,2026-08-26 15:00 KST,0.037,0.243,744.6,1249.1
orderapi,2026-08-26 16:00 KST,0.069,0.323,1265.9,1768.8
orderapi,2026-08-26 17:00 KST,0.082,0.301,1783.5,2171.5
orderapi,2026-08-26 18:00 KST,0.077,0.404,722.5,2982.4
orderapi,2026-08-26 19:00 KST,0.128,0.377,1050.1,1645.2
orderapi,2026-08-26 20:00 KST,0.126,0.398,865.6,1393.6
orderapi,2026-08-26 21:00 KST,0.091,0.456,1422.3,1893.4
orderapi,2026-08-26 22:00 KST,0.102,0.424,694.8,2806.2
orderapi,2026-08-26 23:00 KST,0.049,0.088,49.0,96.6
orderapi,2026-08-27 00:00 KST,0.175,0.419,392.5,775.4
orderapi,2026-08-27 01:00 KST,0.251,0.439,1037.5,2039.9
orderapi,2026-08-27 02:00 KST,0.189,0.384,1154.0,2956.7
