timestamp_utc,eks-node-system-1 (t3.medium) CPU%,eks-node-system-2 (t3.medium) CPU%,mysql-ec2 (m6i.2xlarge) CPU%,monitoring-ec2 (t3.medium) CPU%,karpenter-recorder-node (c6i.xlarge) CPU%,karpenter-backend-node-1 (c6i.large) CPU%,karpenter-backend-node-2 (c6i.large) CPU%,karpenter-backend-node-3 (c6i.large) CPU%,redis-001 EngineCPU%,redis-002 EngineCPU%,redis-001 Memory%,redis-002 Memory%,redis-001 Host CPU%,redis-002 Host CPU%
2026-08-26T09:25:00+09:00,,,2.67,,,,,,,,0.39,0.39,11.92,13.78
2026-08-26T09:30:00+09:00,0.00,0.00,0.74,28.16,,,,,0.30,0.29,0.39,0.39,3.76,3.49
2026-08-26T09:35:00+09:00,5.52,5.50,0.72,4.75,,,,,0.30,0.30,0.39,0.39,3.04,2.80
2026-08-26T09:40:00+09:00,5.27,6.26,0.70,3.90,,,,,0.31,0.30,0.39,0.39,2.96,3.07
2026-08-26T09:45:00+09:00,4.24,4.32,0.65,3.60,,,,,0.30,0.30,0.39,0.39,3.07,2.79
2026-08-26T09:50:00+09:00,4.10,4.32,0.64,4.10,,,,,0.30,0.29,0.39,0.39,2.94,2.78
2026-08-26T09:55:00+09:00,4.09,4.21,0.68,3.79,,,,,0.30,0.29,0.40,0.39,2.98,2.75
2026-08-26T10:00:00+09:00,4.32,4.32,0.73,4.17,,,,,0.30,0.30,0.40,0.40,3.02,2.93
2026-08-26T10:05:00+09:00,4.04,4.20,0.69,4.54,,,,,0.30,0.29,0.40,0.40,3.07,2.82
2026-08-26T10:10:00+09:00,10.93,5.29,0.71,4.08,,,,,0.30,0.29,0.40,0.40,6.70,2.59
2026-08-26T10:15:00+09:00,4.94,6.97,0.76,4.90,,,,,0.36,0.30,0.40,0.40,3.39,4.42
2026-08-26T10:20:00+09:00,4.53,5.84,0.72,5.07,,,,,0.32,0.32,0.41,0.40,2.67,4.17
2026-08-26T10:25:00+09:00,4.36,5.60,0.70,4.16,,,,,0.34,0.31,0.41,0.40,2.87,2.53
2026-08-26T10:30:00+09:00,4.48,5.86,0.75,4.85,,,,,0.34,0.31,0.41,0.40,2.61,2.55
2026-08-26T10:35:00+09:00,4.36,5.61,0.71,4.19,,,,,0.36,0.31,0.41,0.41,2.81,2.51
2026-08-26T10:40:00+09:00,4.44,5.87,0.69,4.34,,,,,0.33,0.31,0.42,0.41,2.68,2.60
2026-08-26T10:45:00+09:00,4.51,5.76,0.71,5.19,,,,,0.34,0.31,0.42,0.41,2.85,2.61
2026-08-26T10:50:00+09:00,4.42,6.17,5.34,5.33,,,,,7.98,6.98,0.57,0.55,8.19,6.44
2026-08-26T10:55:00+09:00,4.54,6.01,9.17,4.70,,,,,2.42,1.66,0.68,0.65,4.49,3.74
2026-08-26T11:00:00+09:00,4.35,5.93,7.64,4.78,,,,,1.21,1.47,0.56,0.54,3.63,3.51
2026-08-26T11:05:00+09:00,4.39,5.76,6.69,4.75,,,,,0.75,0.67,0.46,0.44,3.22,2.81
2026-08-26T11:10:00+09:00,4.75,6.79,13.23,4.93,,,,,11.84,9.77,0.68,0.65,11.23,8.41
2026-08-26T11:15:00+09:00,4.56,6.98,19.93,4.97,,,,,10.78,12.51,0.82,0.79,10.12,9.06
2026-08-26T11:20:00+09:00,4.43,6.40,19.65,4.80,,,,,6.52,4.85,0.89,0.88,7.05,6.13
2026-08-26T11:25:00+09:00,4.61,6.25,19.11,4.75,,,,,1.33,1.49,0.76,0.75,3.50,3.25
2026-08-26T11:30:00+09:00,4.38,6.16,17.62,4.58,,,,,1.37,1.75,0.65,0.65,3.36,3.27
2026-08-26T11:35:00+09:00,4.52,6.50,21.67,4.80,,,,,2.48,2.79,0.55,0.52,4.20,4.12
2026-08-26T11:40:00+09:00,4.74,6.51,19.69,4.64,,,,,0.57,0.57,0.45,0.44,2.81,2.67
2026-08-26T11:45:00+09:00,4.46,5.82,17.46,4.58,,,,,0.35,0.31,0.44,0.43,2.76,2.50
2026-08-26T11:50:00+09:00,4.50,6.31,17.81,4.50,,,,,11.53,10.49,0.71,0.70,10.78,8.50
2026-08-26T11:55:00+09:00,4.64,6.08,21.50,4.60,,,,,6.62,7.69,0.67,0.64,7.09,7.15
